Aussparung;Surface_vide;Superficie_vuota
ProjGemeindegrenze;Limite_communeProj;Confine_comunaleProg
ProjGrundstueck;ImmeubleProj;FondoProg
ProjGrundstueckPos;PosImmeubleProj;PosFondoProg
ProjLiegenschaft;Bien_fondsProj;Bene_immobileProg
ProjLiegenschaft_Geometrie;Bien_fondsProj_Geometrie;Bene_immobileProg_Geometria
ProjObjektname;NomObjetProj;NomeOggettoProg
ProjObjektnamePos;PosNomObjetProj;PosNomeOggettoProg
ProjSelbstRecht;DDPProj;DPSSPProg
ProjSelbstRecht_Geometrie;DDPProj_Geometrie;DPSSPProg_Geometria
Punktelement;Element_ponctuel;Elemento_puntiforme
RLNachfuehrung;Mise_a_jourCO;Tenuta_a_giornoCO
RLNachfuehrung_Perimeter;Mise_a_jourCO_Perimetre;Tenuta_a_giornoCO_Perimetro
Rohrleitungen;Conduites;Condotte
Rutschgebiete;Zones_glissement;Zone_di_movimento
Rutschung;Glissement;Movimento
RutschungPos;PosGlissement;PosMovimento
Rutschung_Geometrie;Glissement_Geometrie;Movimento_Geometria
SelbstRecht;DDP;DPSSP
SelbstRecht_Geometrie;DDP_Geometrie;DPSSP_Geometria
Signalpunkt;Signal;Segnale
SignalpunktPos;PosSignal;PosSegnale
Strassenstueck;Troncon_rue;Tronco_di_strada
Symbolart;Genre_symbole;Genere_simbolo
TSEinteilung;RepartitionNT;RipartizioneGT
Toleranzstufe;Niveau_tolerance;Grado_di_tolleranza
ToleranzstufePos;PosNiveau_tolerance;PosGrado_di_tolleranza
Toleranzstufe_Geometrie;Niveau_tolerance_Geometrie;Grado_di_tolleranza_Geometria

# Differences with DM01AVCH
MD01MOVDMN95V24_DE;MD01MOVDMN95V24;MD01MOVDMN95V24_IT
Mise_a_jourRP;Mise_a_jourRP;Mise_a_jourRP
Mise_a_jourRP_Perimetre;Mise_a_jourRP_Perimetre;Mise_a_jourRP_Perimetre
